original_selling_amount,day_of_year,how_far_in_advance,length_of_stay,no_of_adults,hotel_brand_code,customer_nationality,charge_option,hotel_chain_code,original_payment_method
114.15,222,7,1,2,859,85,1,548,29
68.74,176,8,1,2,450,82,1,217,5
188.8,96,108,1,5,11,81,2,274,29
322.29,175,70,3,2,263,56,2,540,19
123.97,240,33,1,3,353,91,2,563,29
177.41,215,6,2,2,490,56,2,617,29
151.19,147,86,1,2,155,67,1,213,19
50.63,151,114,1,2,427,92,1,548,19
453.16,181,2,1,2,815,91,2,79,26
97.88,166,65,1,2,809,92,2,430,17
74.17,238,13,1,2,886,98,2,24,29
87.08,248,2,1,4,460,37,2,582,19
578.0,219,39,4,2,761,40,2,393,29
146.74,198,18,2,2,761,86,1,393,19
103.06,262,1,1,2,264,18,2,492,29
59.62,198,22,1,2,151,91,2,296,19
726.81,196,15,4,2,638,88,2,289,5
86.34,157,36,1,1,741,91,2,168,16
38.82,229,2,1,2,166,40,2,502,19
702.25,184,41,5,2,884,82,2,2,19
369.85,161,84,3,3,146,37,2,596,19
296.25,227,32,2,2,52,37,1,531,19
101.72,194,2,1,2,490,56,2,617,19
340.14,169,83,2,2,717,99,1,503,19
614.81,242,24,3,1,449,44,2,544,29
45.58,220,39,1,1,469,44,1,536,29
166.68,200,32,2,1,741,44,1,168,29
1445.5,206,8,7,1,322,97,2,492,29
255.29,215,5,4,2,418,99,2,15,19
368.5,109,99,5,2,239,82,2,427,29
939.7,258,6,3,1,399,40,2,359,19
683.42,72,168,4,2,93,37,1,234,19
127.79,164,103,4,1,128,95,2,249,19
225.87,132,95,1,2,78,37,1,110,29
174.63,128,58,1,2,745,91,2,561,29
77.44,251,1,1,2,470,86,2,104,29
104.18,183,2,1,2,753,99,2,273,29
77.82,254,8,2,2,427,40,2,548,19
648.0,235,17,3,2,666,95,2,454,19
414.33,193,24,2,6,812,95,2,516,29
156.5,168,22,3,1,871,18,2,16,4
151.56,191,1,1,3,777,95,2,580,26
1079.4,194,19,5,2,662,74,1,79,19
253.51,180,53,2,2,851,44,1,463,16
155.12,200,2,2,2,470,80,2,104,5
67.22,42,226,1,2,56,99,2,110,19
715.24,217,40,6,2,854,99,1,357,29
953.2,81,115,2,4,745,99,1,561,29
307.82,198,71,4,2,4,91,2,509,29
282.56,231,29,2,2,62,3,2,268,19
611.94,133,56,2,3,487,86,1,586,29
942.96,74,184,1,5,178,37,1,176,29
569.37,191,13,3,2,311,86,2,51,19
201.46,205,13,3,2,427,56,2,548,19
237.92,193,1,1,2,143,99,2,421,19
199.15,205,26,1,2,272,39,1,51,19
144.32,57,213,1,2,782,86,1,338,29
269.61,177,74,3,2,879,18,2,579,29
18.46,256,1,1,2,166,95,2,502,29
66.69,242,1,1,2,888,90,2,312,29
33.28,225,6,1,2,709,56,1,87,29
251.78,229,16,2,2,884,82,2,2,29
96.44,227,27,1,2,776,86,2,359,29
188.06,198,46,1,2,78,98,2,110,29
861.39,277,357,6,2,741,44,1,168,29
53.97,192,1,1,1,469,18,2,536,27
236.01,221,25,1,3,536,44,1,110,29
1010.29,255,12,3,4,337,82,2,2,5
1495.36,250,7,4,2,515,82,2,79,19
82.39,209,1,1,2,768,99,2,424,5
238.8,194,5,3,2,421,81,2,266,19
1145.92,248,23,2,5,572,86,1,273,16
47.37,225,4,1,1,335,44,2,176,16
1137.75,233,25,6,2,572,71,2,273,29
106.43,241,26,1,2,51,95,2,200,30
38.48,245,11,1,2,705,16,1,317,29
24.91,218,1,1,2,158,82,2,178,19
1097.6,232,2,2,8,152,97,2,614,5
40.21,200,10,3,1,497,86,2,390,19
74.55,178,43,1,2,243,86,2,273,19
17.46,226,3,1,1,854,44,2,357,19
1024.87,256,17,4,2,749,99,2,397,29
307.9,249,10,3,2,244,56,2,294,29
543.02,164,37,5,1,4,80,1,509,19
412.0,134,95,5,2,50,86,2,614,19
2566.86,183,7,3,2,405,37,2,408,29
311.07,248,1,1,2,864,95,2,51,29
770.95,82,116,3,2,299,99,2,387,29
54.57,247,1,1,2,251,40,2,525,4
115.72,248,18,1,2,250,99,2,544,19
504.65,105,139,3,2,121,72,1,618,29
897.84,169,28,3,6,320,18,2,548,26
128.52,210,1,1,2,578,18,2,10,4
148.38,237,11,1,3,854,86,2,357,29
200.87,186,25,3,2,490,92,2,617,19
758.92,190,4,2,2,718,37,2,51,5
104.6,264,5,2,2,251,95,2,525,29
160.28,171,60,1,5,53,56,2,434,29
45.34,259,7,1,2,125,32,2,24,22
533.77,210,29,3,4,124,37,2,182,27
68.46,238,20,1,2,392,95,1,94,16
42.47,262,1,1,2,470,86,2,104,19
30.38,226,35,2,1,816,89,1,46,19
51.78,267,1,1,1,872,86,2,535,29
1811.07,200,20,7,2,770,39,1,205,29
170.7,178,85,1,2,872,95,1,535,16
158.86,235,19,1,2,889,74,2,51,29
1473.82,251,3,1,2,668,28,2,396,19
394.62,186,8,1,2,864,44,2,51,5
156.57,251,1,1,2,202,82,2,434,19
67.83,206,1,1,2,566,86,2,612,19
1055.55,158,58,5,2,399,86,2,359,29
33.62,257,14,1,1,469,44,1,536,29
97.36,232,11,1,4,427,92,2,548,29
217.18,161,75,2,2,10,95,1,531,19
86.0,235,5,2,2,854,99,2,357,29
78.17,194,57,2,2,148,91,2,72,29
336.0,221,27,2,2,147,91,1,13,29
115.21,236,1,1,3,50,86,2,614,29
140.99,230,15,1,2,671,86,2,341,29
356.3,186,16,2,2,761,91,1,393,19
183.94,250,11,2,2,128,37,2,249,29
288.72,151,42,4,2,614,44,1,616,16
103.24,232,30,1,2,572,98,1,273,29
29.79,198,1,1,2,448,92,2,1,29
214.9,177,13,2,2,720,86,2,330,29
271.2,188,1,1,6,454,99,2,411,29
129.0,273,0,1,4,169,91,2,51,29
567.94,142,41,3,2,776,92,2,359,29
264.49,165,51,2,2,854,44,1,357,29
198.06,193,38,1,9,822,37,1,298,19
187.8,222,11,2,2,470,86,2,104,19
1780.0,234,16,5,2,855,39,1,192,29
881.52,69,162,3,2,318,3,1,610,19
115.86,191,11,1,2,883,99,1,51,29
222.9,156,31,3,2,726,41,1,92,19
317.64,205,9,4,2,761,91,1,393,19
197.4,177,43,10,2,584,92,1,356,29
81.39,238,5,3,2,113,3,2,375,29
252.63,196,41,3,2,392,37,2,94,29
189.49,151,38,1,2,572,86,2,273,29
649.92,255,12,3,2,93,86,1,234,5
346.11,218,5,3,4,223,62,1,158,19
933.46,167,46,2,2,501,44,1,543,16
120.72,188,1,1,2,753,99,2,273,19
1302.98,165,67,4,6,405,95,1,408,19
581.92,99,98,2,2,464,18,1,548,29
31.1,183,2,1,2,49,40,2,115,19
163.36,200,1,1,2,572,42,2,273,19
162.65,237,7,3,2,13,98,2,516,5
637.4,134,58,2,7,229,56,1,363,5
19.78,258,2,2,2,502,40,2,518,15
196.48,161,26,2,2,741,95,2,168,29
221.08,150,46,1,2,572,86,2,273,19
190.23,193,9,3,2,107,95,2,549,22
51.8,207,13,1,1,230,44,1,168,19
112.92,175,10,1,2,328,18,2,123,26
134.21,239,6,1,2,189,92,2,397,16
68.88,56,182,1,1,881,43,2,548,19
157.35,199,19,2,1,188,95,1,319,19
400.82,232,2,2,2,864,97,2,51,19
409.65,160,23,2,2,193,86,2,544,19
65.3,195,1,1,2,50,86,2,614,19
309.99,52,135,3,2,427,91,1,548,16
35.56,203,10,1,4,77,40,2,121,16
84.22,202,7,1,2,403,86,1,260,29
270.32,198,5,1,2,572,37,2,273,19
49.89,183,1,1,1,286,44,2,176,5
1068.96,153,34,2,2,202,18,2,434,29
53.93,187,3,1,2,460,37,2,582,19
186.93,236,9,1,2,399,18,2,359,4
447.3,22,216,5,4,859,40,1,548,29
359.79,88,95,3,2,741,86,1,168,19
167.36,236,4,2,2,42,56,2,409,29
65.52,246,6,1,2,320,56,2,548,19
1884.52,197,25,12,2,475,99,2,504,29
52.72,200,2,1,2,206,82,2,605,29
251.64,276,319,1,2,772,3,1,548,19
212.7,163,34,5,2,870,44,2,178,16
230.63,221,16,1,3,78,86,2,110,19
139.95,191,56,1,2,872,86,2,535,5
36.59,166,38,1,1,427,92,2,548,19
573.3,71,141,4,3,685,66,2,136,29
58.33,205,4,1,1,741,44,2,168,26
183.0,197,23,2,2,475,80,2,504,29
369.76,246,7,1,4,781,56,2,42,20
576.66,155,66,2,1,536,86,2,110,29
114.24,163,25,1,2,322,18,2,492,19
315.71,139,101,4,2,124,37,1,182,5
